model,params,num_users,num_test_overlap,overlap_ratio,NDCG@K,Recall@K,MeanPop@K,LongTailExposure@K,AudioKL,ExposureGini,NumUsers,NumUsersWithHits
lightgcn_base,baseline,4304,4304,0.538067258407301,0.011487643947315291,0.02370905912372479,7.425788049859331,0.25120817843866167,0.017581482495975048,0.6399670840038779,4304,993
mmr_latent,lambda_0.1,4304,4304,0.538067258407301,0.011312075475606309,0.024675274031039553,7.406573677318722,0.25053206319702603,0.017543351841680238,0.6415081439480556,4304,1017
mmr_latent,lambda_0.2,4304,4304,0.538067258407301,0.01138171629047797,0.024637764098136263,7.4047999806394245,0.25050418215613385,0.017514406515919522,0.6421245478474022,4304,1015
mmr_latent,lambda_0.4,4304,4304,0.538067258407301,0.01137572297811388,0.024462321084921343,7.408552487788018,0.2503276022304832,0.017589058732532612,0.6401337320557106,4304,1016
mmr_latent,lambda_0.6,4304,4304,0.538067258407301,0.011596577565408911,0.024326609331001975,7.415104029961357,0.2504670074349442,0.01757321634871971,0.6374596749945332,4304,1011
mmr_latent,lambda_0.8,4304,4304,0.538067258407301,0.011667663972525322,0.024266477258713563,7.4215747913592205,0.25103159851301116,0.017552455084284015,0.633711509003568,4304,1017
mmr_latent,lambda_0.9,4304,4304,0.538067258407301,0.01170956646082894,0.024104434102287936,7.423713721089538,0.25120120817843866,0.017564514187541142,0.6328298685172772,4304,1011
my_reranker,a0.3_b0.4_g0.3,4304,4304,0.538067258407301,0.01594363338505784,0.025502838531675072,6.93734832844223,0.2898443308550186,0.01607772187612093,0.6494676189830634,4304,1039
my_reranker,a0.3_b0.4_g0.5,4304,4304,0.538067258407301,0.01570815861789813,0.025335505647382482,6.695617977974829,0.311150092936803,0.015209679793294776,0.6534900476082954,4304,1038
my_reranker,a0.3_b0.4_g0.7,4304,4304,0.538067258407301,0.015417885157170045,0.025569301564788035,6.535321327471962,0.3287523234200743,0.014748250365638252,0.6564748290006573,4304,1042
my_reranker,a0.3_b0.6_g0.3,4304,4304,0.538067258407301,0.016227509211983564,0.02562593142031358,7.088318850464865,0.27798094795539036,0.016775737545177454,0.6482316263994774,4304,1047
my_reranker,a0.3_b0.6_g0.5,4304,4304,0.538067258407301,0.016008738787190224,0.025614074597117464,6.8848906220109845,0.29390334572490706,0.01608282042720852,0.6502638042367105,4304,1046
my_reranker,a0.3_b0.6_g0.7,4304,4304,0.538067258407301,0.015719726419239292,0.025394904941796102,6.721771083588452,0.30828299256505576,0.015454486922452992,0.6528578121414895,4304,1043
my_reranker,a0.3_b0.9_g0.3,4304,4304,0.538067258407301,0.01634468747380037,0.025616601637824768,7.202234887233319,0.2693052973977695,0.01722519182215748,0.6474472496337214,4304,1049
my_reranker,a0.3_b0.9_g0.5,4304,4304,0.538067258407301,0.016251840977754135,0.025601040227428363,7.048642132989034,0.2809386617100372,0.016820289772084225,0.6487773068798993,4304,1048
my_reranker,a0.3_b0.9_g0.7,4304,4304,0.538067258407301,0.016037354212494522,0.025547866727322715,6.913096166510009,0.2916658921933085,0.01630301150029315,0.6502293599907877,4304,1043
my_reranker,a0.5_b0.4_g0.3,4304,4304,0.538067258407301,0.01588466713710235,0.025786704541884996,6.952543299844817,0.2887778810408922,0.015613150616150302,0.6494710460456643,4304,1047
my_reranker,a0.5_b0.4_g0.5,4304,4304,0.538067258407301,0.015603684262498725,0.02555909561093531,6.716029283532079,0.3096189591078067,0.014938918275479511,0.6529080917012869,4304,1044
my_reranker,a0.5_b0.4_g0.7,4304,4304,0.538067258407301,0.015327978469301605,0.02537903728488729,6.554864218392539,0.326675185873606,0.01458721577581179,0.6563214872185914,4304,1042
my_reranker,a0.5_b0.6_g0.3,4304,4304,0.538067258407301,0.01603688421495198,0.025575701478778374,7.093309165260177,0.2777555762081784,0.016448392562540926,0.6484261606445283,4304,1047
my_reranker,a0.5_b0.6_g0.5,4304,4304,0.538067258407301,0.015908340994926676,0.02553398885065434,6.892739590200095,0.29345957249070637,0.01585210512452397,0.6500611264387096,4304,1045
my_reranker,a0.5_b0.6_g0.7,4304,4304,0.538067258407301,0.015686944925814454,0.025343538506237384,6.731809066866437,0.30761617100371746,0.015289679828701195,0.6527648453525056,4304,1037
my_reranker,a0.5_b0.9_g0.3,4304,4304,0.538067258407301,0.01622989916145611,0.025581522695745925,7.204877165075288,0.26913336431226764,0.017021322342944574,0.6472575328009854,4304,1046
my_reranker,a0.5_b0.9_g0.5,4304,4304,0.538067258407301,0.01615459946855072,0.02561945354307516,7.052273564726634,0.28075278810408927,0.016625322948633652,0.6487515322160116,4304,1045
my_reranker,a0.5_b0.9_g0.7,4304,4304,0.538067258407301,0.01603543320700301,0.02561326340715938,6.916458137780618,0.2912802044609666,0.01617211377011044,0.6497392449901744,4304,1044
my_reranker,a1.0_b0.4_g0.3,4304,4304,0.538067258407301,0.01532835913876623,0.025287800064938252,7.009597262413422,0.28438429368029733,0.014625148308776722,0.6483660659340299,4304,1039
my_reranker,a1.0_b0.4_g0.5,4304,4304,0.538067258407301,0.015179585449027857,0.025356401525733416,6.788157256341816,0.3032992565055762,0.014398751810342031,0.6516524229229158,4304,1043
my_reranker,a1.0_b0.4_g0.7,4304,4304,0.538067258407301,0.015083278947311327,0.025374524607000758,6.62845196074788,0.3188847583643123,0.014344260337352267,0.6544407013850051,4304,1043
my_reranker,a1.0_b0.6_g0.3,4304,4304,0.538067258407301,0.01570836337590678,0.02557423523350865,7.118491580452872,0.27606412639405203,0.015468077951701917,0.6477276080560475,4304,1045
my_reranker,a1.0_b0.6_g0.5,4304,4304,0.538067258407301,0.01564382694247343,0.025682298401184703,6.925367896587703,0.29116171003717467,0.01511527798271601,0.6498704051701055,4304,1050
my_reranker,a1.0_b0.6_g0.7,4304,4304,0.538067258407301,0.015479352751030333,0.025573397826229333,6.770188552997421,0.30457249070631975,0.01478867819261662,0.651920537735648,4304,1044
my_reranker,a1.0_b0.9_g0.3,4304,4304,0.538067258407301,0.0159011010883256,0.02549206687917105,7.215856619339252,0.2685246282527881,0.016341204493614914,0.6471770592052919,4304,1042
my_reranker,a1.0_b0.9_g0.5,4304,4304,0.538067258407301,0.015938709451978502,0.02548428435088355,7.065421569712744,0.27993959107806693,0.016043437403204217,0.6484144102905547,4304,1043
my_reranker,a1.0_b0.9_g0.7,4304,4304,0.538067258407301,0.01586575471776033,0.025701145287529276,6.93277442338503,0.29040427509293676,0.015707105386518604,0.6496011623365162,4304,1047
xquad,lambda_0.1,4304,4304,0.538067258407301,0.008760810827925278,0.016161763010993112,7.4437708668842335,0.2507342007434944,0.01884061286621829,0.630994518158525,4304,717
xquad,lambda_0.25,4304,4304,0.538067258407301,0.008778417222577209,0.016161763010993112,7.4435987351956365,0.25077137546468403,0.018828700490610233,0.6310546930703226,4304,717
xquad,lambda_0.5,4304,4304,0.538067258407301,0.008790671534919386,0.01617725247815544,7.443205797965657,0.25075743494423797,0.018793178111712557,0.6311836499739738,4304,717
xquad,lambda_0.75,4304,4304,0.538067258407301,0.00886486312315865,0.016256459980690082,7.441809845923084,0.2508480483271376,0.01869650759963603,0.6316511209890744,4304,719
xquad,lambda_0.9,4304,4304,0.538067258407301,0.009183634417300976,0.016694692910927712,7.439303808877197,0.25079693308550194,0.018366063622086707,0.6324382931914614,4304,739
